Unix Timestamp,Year,Month,Day,Hour,Minute,Second,Distance (cm),Latitude,Longitude,Confidence
1701742796501,2023,12,4,16,19,56,4219,19.7283478,-155.9893491,12
1701742797626,2023,12,4,16,19,57,4712,19.7283476,-155.9893496,1
1701742798547,2023,12,4,16,19,58,5083,19.7283475,-155.9893498,1
1701742799568,2023,12,4,16,19,59,4879,19.7283475,-155.9893502,1
1701742800491,2023,12,4,16,20,0,5099,19.7283471,-155.9893511,1
1701742801412,2023,12,4,16,20,1,5528,19.728347,-155.9893518,1
1701742802310,2023,12,4,16,20,2,5875,19.7283467,-155.9893526,1
1701742803154,2023,12,4,16,20,3,6478,19.7283465,-155.9893524,10
1701742804075,2023,12,4,16,20,4,6830,19.7283464,-155.9893523,32
1701742804986,2023,12,4,16,20,4,7354,19.7283458,-155.9893519,48
1701742805714,2023,12,4,16,20,5,7742,19.7283455,-155.9893515,27
1701742806738,2023,12,4,16,20,6,7851,19.7283453,-155.9893512,13
1701742807660,2023,12,4,16,20,7,8396,19.7283451,-155.9893507,21
1701742808273,2023,12,4,16,20,8,8442,19.7283449,-155.9893505,10
1701742809094,2023,12,4,16,20,9,8834,19.7283447,-155.9893498,10
1701742809912,2023,12,4,16,20,9,9288,19.7283447,-155.9893493,10
1701742810732,2023,12,4,16,20,10,6515,19.7283446,-155.9893488,1
1701742811537,2023,12,4,16,20,11,7240,19.7283444,-155.9893482,1
1701742812267,2023,12,4,16,20,12,1144,19.7283442,-155.9893479,60
1701742813028,2023,12,4,16,20,13,1146,19.7283441,-155.9893477,62
1701742813989,2023,12,4,16,20,13,1290,19.7283438,-155.9893472,58
1701742814827,2023,12,4,16,20,14,1405,19.7283436,-155.9893467,1
1701742815566,2023,12,4,16,20,15,1539,19.7283433,-155.9893463,1
1701742816465,2023,12,4,16,20,16,1575,19.728343,-155.9893456,1
1701742817285,2023,12,4,16,20,17,1496,19.728343,-155.9893452,1
1701742818206,2023,12,4,16,20,18,1692,19.7283428,-155.9893444,1
1701742819196,2023,12,4,16,20,19,1827,19.7283426,-155.989344,13
1701742820048,2023,12,4,16,20,20,308,19.7283423,-155.9893438,49
1701742820836,2023,12,4,16,20,20,416,19.7283417,-155.9893432,59
1701742821708,2023,12,4,16,20,21,435,19.7283415,-155.9893428,45
1701742822491,2023,12,4,16,20,22,539,19.7283411,-155.9893426,20
1701742823156,2023,12,4,16,20,23,607,19.728341,-155.9893426,29
1701742824048,2023,12,4,16,20,24,656,19.728341,-155.9893426,32
1701742824863,2023,12,4,16,20,24,692,19.7283409,-155.9893426,1
1701742825886,2023,12,4,16,20,25,614,19.7283408,-155.9893424,1
1701742826547,2023,12,4,16,20,26,670,19.7283407,-155.9893422,19
1701742827110,2023,12,4,16,20,27,715,19.7283406,-155.9893421,33
1701742827933,2023,12,4,16,20,27,819,19.7283405,-155.989342,40
1701742828599,2023,12,4,16,20,28,946,19.7283404,-155.9893417,28
1701742829294,2023,12,4,16,20,29,1070,19.7283403,-155.9893414,8
1701742829951,2023,12,4,16,20,29,1191,19.7283401,-155.9893413,22
1701742830517,2023,12,4,16,20,30,1315,19.7283398,-155.9893417,12
1701742831927,2023,12,4,16,20,31,1434,19.7283391,-155.9893427,1
1701742832850,2023,12,4,16,20,32,1425,19.7283388,-155.9893432,1
1701742833771,2023,12,4,16,20,33,286,19.7283387,-155.9893436,50
1701742834589,2023,12,4,16,20,34,282,19.7283386,-155.9893439,42
1701742835614,2023,12,4,16,20,35,390,19.7283384,-155.9893442,59
1701742836535,2023,12,4,16,20,36,441,19.7283385,-155.9893442,70
1701742837356,2023,12,4,16,20,37,533,19.7283385,-155.9893442,40
1701742838173,2023,12,4,16,20,38,577,19.7283382,-155.9893444,30
1701742839095,2023,12,4,16,20,39,613,19.7283379,-155.9893447,1
1701742840119,2023,12,4,16,20,40,622,19.7283377,-155.9893453,1
1701742840887,2023,12,4,16,20,40,768,19.7283374,-155.9893456,30
1701742841648,2023,12,4,16,20,41,817,19.7283371,-155.9893459,18
1701742842477,2023,12,4,16,20,42,938,19.7283369,-155.9893462,21
1701742843279,2023,12,4,16,20,43,1035,19.7283366,-155.9893464,44
1701742844114,2023,12,4,16,20,44,1083,19.7283361,-155.9893465,58
1701742844886,2023,12,4,16,20,44,290,19.7283357,-155.9893469,60
1701742845917,2023,12,4,16,20,45,4827,19.7283356,-155.9893476,61
1701742846776,2023,12,4,16,20,46,4904,19.7283355,-155.9893481,56
1701742847799,2023,12,4,16,20,47,4972,19.7283354,-155.9893488,11
1701742848721,2023,12,4,16,20,48,5033,19.7283354,-155.9893493,10
1701742849643,2023,12,4,16,20,49,4902,19.7283352,-155.9893498,1
1701742850552,2023,12,4,16,20,50,5160,19.728335,-155.9893506,9
1701742851384,2023,12,4,16,20,51,278,19.7283349,-155.9893511,57
1701742852202,2023,12,4,16,20,52,309,19.7283348,-155.9893517,33
